"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0579463414722059,0.115892682944412,0.321775918075361,-0.300617047572292,-1.27113020290518,163,"VCAM1;CDKN1A;PLA2G4A;IFIT1;XAF1;TNFAIP2;SOCS1;TNFSF10;SAMD9L;PIM1;TNFAIP6;SECTM1;IFI44;CASP1;MX1;UPP1;IFIT2;FGL2;PTGS2;CCL7;BPGM;PSME2;HLA-A;CD274;BATF2;TRIM14;IRF1;HLA-B;OAS3;APOL6;GBP4;CCL2;IFIH1;HERC6;PSMB9;OAS2;NMI"
"HALLMARK_INFLAMMATORY_RESPONSE",0.067238912732475,0.129305601408606,0.206587922696891,0.352001579423187,1.30394145715654,132,"PDPN;RNF144B;RAF1;ATP2A2;KLF6;CD82;MYC;NAMPT;GCH1;FZD5;SGMS2;INHBA;ADM;HIF1A;LPAR1;PSEN1;TNFRSF1B;OSMR;SRI;NFKBIA;F3;SLC31A1;MET;SCARF1;CD40;SLC11A2;CSF1;PTPRE;LDLR;ACVR1B;ATP2B1"
"HALLMARK_ANGIOGENESIS",0.0772663424651191,0.137975611544856,0.287805130535564,-0.478152704864755,-1.46614020433401,29,"COL3A1;LUM;POSTN;VEGFA;JAG1;CCND2;VCAN;JAG2;S100A4;TIMP1"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0748407643312102,0.137975611544856,0.206587922696891,0.402524135823806,1.34745476392624,69,"ERRFI1;CBS;ATF3;PCYT2;NFIL3;PPARG;CD9;ACTG1;ALCAM;LGMN;GNAI1;PNRC1;TM7SF2;ATXN2;LDLR"
"HALLMARK_APOPTOSIS",0.0828651685393258,0.142870980240217,0.183023938384487,0.33849219600401,1.26614535023418,142,"GPX3;ATF3;CFLAR;NEDD9;GADD45B;SAT1;EMP1;RHOB;HMGB2;GCH1;ROCK1;MCL1;GSR;VDAC2;CASP3;GSN;WEE1;HSPB1;PSEN1;GUCY2D;CAV1;ANXA1;GPX1;PDGFRB;DNAJC3;BCL2L2;SOD2;ETF1;CTH;IFNGR1;BNIP3L;DNM1L;BCAP31;SPTAN1;RELA;IGFBP6"
"HALLMARK_COAGULATION",0.107142857142857,0.167410714285714,0.16440575583821,0.359841825902511,1.27987588592835,97,"MAFF;CRIP2;MMP15;THBS1;WDR1;CD9;SERPING1;GSN;PREP;FURIN;LGMN;CFH;ANG;F10;DUSP14;RAC1;F3;GNB2;ANXA1;MMP7"
"HALLMARK_HEDGEHOG_SIGNALING",0.103960396039604,0.167410714285714,0.219250346703755,-0.435438103127345,-1.3324400932595,28,"AMOT;CDK6;VEGFA;LDB1;TLE3;THY1;GLI1;CRMP1;CELSR1;DPYSL2"
"HALLMARK_MYC_TARGETS_V2",0.103896103896104,0.167410714285714,0.175204047558551,0.408755095685661,1.32497425503441,55,"MYC;RRP9;SRM;TBRG4;UTP20;NOP2;MAP3K6;NIP7;PUS1;IMP4;NOP16;MCM5;HK2;WDR74;TMEM97;NOP56;MRTO4;PPAN;PA2G4;TFB2M;PES1;MYBBP1A;DDX18;NOLC1;GRWD1;NDUFAF4"
"HALLMARK_MYOGENESIS",0.112359550561798,0.170241743275451,0.155241966228839,0.326644129470326,1.22405013477768,146,"GPX3;LAMA2;ACSL1;ABLIM1;DAPK2;KLF5;COL4A2;DMD;GADD45B;TAGLN;APOD;DMPK;TPM2;SORBS1;FHL1;MEF2A;GSN;CKB;HDAC5;MYO1C;CRYAB;SORBS3;SYNGR2;ITGB1;CNN3;LPIN1;TEAD4;GABARAPL2;TPM3;PDLIM7;STC2;RB1;MEF2D"
"HALLMARK_APICAL_SURFACE",0.126550868486352,0.186104218362283,0.197822021315103,-0.410959933096202,-1.29120086128546,31,"EPHB4;BRCA1;SULF2;B4GALT1;MDGA1;GSTM3;LYPD3;AFAP1L2;NTNG1;THY1"
